vm_id,vm_type,mips_capacity,ram_gb,price_per_hour,cpu_demand_mips,cpu_weight,num_containers
0,medium,8000,8,0.1,2463.6718135673595,0.007210738596833331,0
1,xlarge,16000,32,0.4,10207.566891317178,0.029875771666357288,0
2,small,4000,4,0.05,1238.319005328514,0.003624344199475675,0
3,small,4000,4,0.05,1778.4611184624282,0.005205246153015576,0
4,medium,8000,8,0.1,5327.983957356581,0.015594081708874283,0
5,large,12000,16,0.2,4848.2255052559585,0.014189912221417349,0
6,small,4000,4,0.05,1637.3666106913495,0.004792287086234298,0
7,large,12000,16,0.2,6661.122296336962,0.019495945594667073,0
8,small,4000,4,0.05,2562.4807867679797,0.007499935263713858,0
9,small,4000,4,0.05,3221.483459027997,0.009428721386164534,0
10,small,4000,4,0.05,2148.360566404355,0.00628787745623289,0
11,large,12000,16,0.2,8836.358370166232,0.025862482983457176,0
12,small,4000,4,0.05,2569.0655385729588,0.007519207686172586,0
13,medium,8000,8,0.1,7013.625716876877,0.020527661753453025,0
14,large,12000,16,0.2,8980.704792989143,0.026284959839600146,0
15,medium,8000,8,0.1,5216.405595186472,0.015267511262989098,0
16,xlarge,16000,32,0.4,10627.528777792173,0.031104927013805676,0
17,small,4000,4,0.05,1911.0564136897979,0.005593329503967289,0
18,small,4000,4,0.05,1237.5273761788653,0.0036220272387375136,0
19,small,4000,4,0.05,2147.7156436213677,0.00628598987949574,0
20,small,4000,4,0.05,1233.7915745162027,0.0036110931974862683,0
21,small,4000,4,0.05,2907.2206865967605,0.008508928948617206,0
22,large,12000,16,0.2,7962.911818423283,0.023306056949664887,0
23,large,12000,16,0.2,8287.754583614002,0.02425681518457406,0
24,large,12000,16,0.2,9720.277760086556,0.028449561191799713,0
25,small,4000,4,0.05,1428.984279576987,0.004182388271956471,0
26,small,4000,4,0.05,2805.219006392658,0.008210387784027362,0
27,medium,8000,8,0.1,5238.229380997091,0.01533138568563218,0
28,small,4000,4,0.05,2546.984222034483,0.0074545795159122255,0
29,small,4000,4,0.05,3532.1090289338495,0.010337868364974275,0
30,large,12000,16,0.2,8796.452552387089,0.02574568560041548,0
31,small,4000,4,0.05,1814.5639746271775,0.005310912929316487,0
32,small,4000,4,0.05,2905.59093524589,0.008504158950071034,0
33,small,4000,4,0.05,2254.4076044778485,0.006598258679212891,0
34,small,4000,4,0.05,3349.8326296164473,0.009804377069335088,0
35,medium,8000,8,0.1,5103.722745486642,0.014937708174340208,0
36,medium,8000,8,0.1,3068.7909811482036,0.008981817079498916,0
37,medium,8000,8,0.1,4991.237238248031,0.014608482672727893,0
38,small,4000,4,0.05,3462.8485693391544,0.010135155054506705,0
39,medium,8000,8,0.1,5734.967678590582,0.016785252225508775,0
40,large,12000,16,0.2,8095.3491465633115,0.023693677958446086,0
41,small,4000,4,0.05,1453.1862235926494,0.00425322314974786,0
42,medium,8000,8,0.1,3448.5140986408014,0.010093200553683755,0
43,small,4000,4,0.05,3319.872621405284,0.009716689339833136,0
44,small,4000,4,0.05,1493.0110912816162,0.004369783605964957,0
45,small,4000,4,0.05,3376.3882597098095,0.009882100776617418,0
46,small,4000,4,0.05,2754.45628929927,0.008061814146333546,0
47,small,4000,4,0.05,2046.1652552020055,0.005988769567412605,0
48,small,4000,4,0.05,1595.1740475430602,0.004668796797504581,0
49,medium,8000,8,0.1,4727.183862523119,0.013835644400406728,0
50,medium,8000,8,0.1,3693.179202232903,0.010809292727996224,0
51,small,4000,4,0.05,1603.8985012150333,0.0046943317549134125,0
52,small,4000,4,0.05,2539.444804841619,0.007432512954022436,0
53,small,4000,4,0.05,1355.7413930615558,0.003968019091032339,0
54,small,4000,4,0.05,1792.5025508126428,0.005246342981596778,0
55,medium,8000,8,0.1,5818.898831637322,0.01703090410227986,0
56,small,4000,4,0.05,3594.577164117461,0.010520701724093012,0
57,small,4000,4,0.05,3543.8758939983677,0.010372307930998125,0
58,small,4000,4,0.05,1279.3217589613162,0.0037443521228396164,0
59,small,4000,4,0.05,2722.4432272832732,0.00796811748567836,0
60,medium,8000,8,0.1,4948.485999922255,0.014483357238990954,0
61,small,4000,4,0.05,2526.9434137711874,0.00739592355822335,0
62,medium,8000,8,0.1,2788.0959663970334,0.008160271626221105,0
63,small,4000,4,0.05,1781.1838518658224,0.005213215119796226,0
64,large,12000,16,0.2,6986.164568011477,0.020447287750330265,0
65,xlarge,16000,32,0.4,8628.71464746771,0.025254745947457902,0
66,large,12000,16,0.2,9348.084899888769,0.02736021747007734,0
67,small,4000,4,0.05,2419.677064177725,0.007081973622645272,0
68,medium,8000,8,0.1,6520.122263105856,0.019083263038421026,0
69,small,4000,4,0.05,1728.578514157316,0.005059248452269628,0
70,medium,8000,8,0.1,6285.605021470635,0.018396871889823446,0
71,small,4000,4,0.05,1430.8237226194099,0.004187772001587029,0
72,xlarge,16000,32,0.4,8616.691402440214,0.025219556001905286,0
73,medium,8000,8,0.1,6421.008508355176,0.018793174328990626,0
74,medium,8000,8,0.1,5929.037372355707,0.017353260441376424,0
75,small,4000,4,0.05,2499.475137186158,0.00731552869350581,0
76,medium,8000,8,0.1,3497.0401046270385,0.010235227727265962,0
77,small,4000,4,0.05,3557.2040239906455,0.010411317047727747,0
78,medium,8000,8,0.1,3651.9800391859635,0.010688709948462112,0
79,xlarge,16000,32,0.4,14068.025772372419,0.041174662899279194,0
