vm_id,vm_type,mips_capacity,ram_gb,price_per_hour,cpu_demand_mips,cpu_weight,num_containers
0,medium,8000,8,0.1,2463.6718135673595,0.013857908429251206,0
1,xlarge,16000,32,0.4,10207.566891317178,0.05741654650848336,0
2,small,4000,4,0.05,1238.319005328514,0.006965420997854346,0
3,small,4000,4,0.05,1778.4611184624282,0.010003666555306868,0
4,medium,8000,8,0.1,5327.983957356581,0.029969378789399478,0
5,large,12000,16,0.2,4848.2255052559585,0.027270785307606592,0
6,small,4000,4,0.05,1637.3666106913495,0.009210024010145517,0
7,large,12000,16,0.2,6661.122296336962,0.03746814908963819,0
8,small,4000,4,0.05,2562.4807867679797,0.014413699056501928,0
9,small,4000,4,0.05,3221.483459027997,0.01812052341375574,0
10,small,4000,4,0.05,2148.360566404355,0.012084314086922442,0
11,large,12000,16,0.2,8836.358370166232,0.04970363522749417,0
12,small,4000,4,0.05,2569.0655385729588,0.014450737629188531,0
13,medium,8000,8,0.1,7013.625716876877,0.03945094570075281,0
14,large,12000,16,0.2,8980.704792989143,0.050515569470746084,0
15,medium,8000,8,0.1,5216.405595186472,0.029341761621753976,0
16,xlarge,16000,32,0.4,10627.528777792173,0.05977879026777657,0
17,small,4000,4,0.05,1911.0564136897979,0.010749501876915615,0
18,small,4000,4,0.05,1237.5273761788653,0.006960968162778933,0
19,small,4000,4,0.05,2147.7156436213677,0.012080686460539189,0
20,small,4000,4,0.05,1233.7915745162027,0.006939954650725126,0
21,small,4000,4,0.05,2907.2206865967605,0.016352826637305362,0
22,large,12000,16,0.2,7962.911818423283,0.04479058541897589,0
23,large,12000,16,0.2,8287.754583614002,0.04661779360032835,0
24,large,12000,16,0.2,9720.277760086556,0.054675593707068884,0
25,small,4000,4,0.05,1428.984279576987,0.008037894164378709,0
26,small,4000,4,0.05,2805.219006392658,0.01577907735133555,0
27,medium,8000,8,0.1,5238.229380997091,0.02946451824204636,0
28,small,4000,4,0.05,2546.984222034483,0.01432653242421668,0
29,small,4000,4,0.05,3532.1090289338495,0.019867761288473416,0
30,large,12000,16,0.2,8796.452552387089,0.04947916897937933,0
31,small,4000,4,0.05,1814.5639746271775,0.01020674152333237,0
32,small,4000,4,0.05,2905.59093524589,0.016343659448372794,0
33,small,4000,4,0.05,2254.4076044778485,0.012680818107759473,0
34,small,4000,4,0.05,3349.8326296164473,0.01884247470742648,0
35,medium,8000,8,0.1,5103.722745486642,0.028707931821823678,0
36,medium,8000,8,0.1,3068.7909811482036,0.017261643442551416,0
37,medium,8000,8,0.1,4991.237238248031,0.028075212053571177,0
38,small,4000,4,0.05,3462.8485693391544,0.01947817810554072,0
39,medium,8000,8,0.1,5734.967678590582,0.0322586216625767,0
