vm_id,vm_type,mips_capacity,ram_gb,price_per_hour,cpu_demand_mips,cpu_weight,num_containers
0,medium,8000,8,0.1,2463.6718135673595,0.010350078801186343,0
1,xlarge,16000,32,0.4,10207.566891317178,0.04288279027738486,0
2,small,4000,4,0.05,1238.319005328514,0.005202275406803646,0
3,small,4000,4,0.05,1778.4611184624282,0.007471454850262205,0
4,medium,8000,8,0.1,5327.983957356581,0.022383279098464038,0
5,large,12000,16,0.2,4848.2255052559585,0.020367776157921562,0
6,small,4000,4,0.05,1637.3666106913495,0.006878705740659528,0
7,large,12000,16,0.2,6661.122296336962,0.027983897973650255,0
8,small,4000,4,0.05,2562.4807867679797,0.010765183058684789,0
9,small,4000,4,0.05,3221.483459027997,0.013533705047093319,0
10,small,4000,4,0.05,2148.360566404355,0.009025431485311933,0
11,large,12000,16,0.2,8836.358370166232,0.03712223557662685,0
12,small,4000,4,0.05,2569.0655385729588,0.010792846118225622,0
13,medium,8000,8,0.1,7013.625716876877,0.02946479253118995,0
14,large,12000,16,0.2,8980.704792989143,0.03772864623678828,0
15,medium,8000,8,0.1,5216.405595186472,0.021914529634916077,0
16,xlarge,16000,32,0.4,10627.528777792173,0.044647083148933044,0
17,small,4000,4,0.05,1911.0564136897979,0.00802849810038677,0
18,small,4000,4,0.05,1237.5273761788653,0.005198949710566404,0
19,small,4000,4,0.05,2147.7156436213677,0.009022722114044283,0
20,small,4000,4,0.05,1233.7915745162027,0.0051832553143480314,0
21,small,4000,4,0.05,2907.2206865967605,0.012213462455920913,0
22,large,12000,16,0.2,7962.911818423283,0.033452818006729876,0
23,large,12000,16,0.2,8287.754583614002,0.03481750797850451,0
24,large,12000,16,0.2,9720.277760086556,0.040835650362310016,0
25,small,4000,4,0.05,1428.984279576987,0.006003275199979851,0
26,small,4000,4,0.05,2805.219006392658,0.011784945385525407,0
27,medium,8000,8,0.1,5238.229380997091,0.02200621307328486,0
28,small,4000,4,0.05,2546.984222034483,0.010700080773041016,0
29,small,4000,4,0.05,3532.1090289338495,0.01483866746476766,0
30,large,12000,16,0.2,8796.452552387089,0.036954588101680966,0
31,small,4000,4,0.05,1814.5639746271775,0.007623125784757326,0
32,small,4000,4,0.05,2905.59093524589,0.012206615742484913,0
33,small,4000,4,0.05,2254.4076044778485,0.009470943421864783,0
34,small,4000,4,0.05,3349.8326296164473,0.014072909994092258,0
35,medium,8000,8,0.1,5103.722745486642,0.02144114013250231,0
36,medium,8000,8,0.1,3068.7909811482036,0.012892231954085894,0
37,medium,8000,8,0.1,4991.237238248031,0.020968579681268647,0
38,small,4000,4,0.05,3462.8485693391544,0.014547698833855134,0
39,medium,8000,8,0.1,5734.967678590582,0.024093049678447498,0
40,large,12000,16,0.2,8095.3491465633115,0.034009197624712786,0
41,small,4000,4,0.05,1453.1862235926494,0.0061049494677636335,0
42,medium,8000,8,0.1,3448.5140986408014,0.014487478596531225,0
43,small,4000,4,0.05,3319.872621405284,0.013947045646348341,0
44,small,4000,4,0.05,1493.0110912816162,0.0062722568650223545,0
45,small,4000,4,0.05,3376.3882597098095,0.014184472281961872,0
46,small,4000,4,0.05,2754.45628929927,0.011571687223790737,0
47,small,4000,4,0.05,2046.1652552020055,0.008596100955883786,0
48,small,4000,4,0.05,1595.1740475430602,0.006701451468802395,0
49,medium,8000,8,0.1,4727.183862523119,0.01985927070942357,0
50,medium,8000,8,0.1,3693.179202232903,0.015515335914268662,0
51,small,4000,4,0.05,1603.8985012150333,0.006738103583952209,0
52,small,4000,4,0.05,2539.444804841619,0.010668407089220209,0
53,small,4000,4,0.05,1355.7413930615558,0.005695576080768275,0
54,small,4000,4,0.05,1792.5025508126428,0.007530444010468496,0
55,medium,8000,8,0.1,5818.898831637322,0.024445651044881254,0
56,small,4000,4,0.05,3594.577164117461,0.015101101007317042,0
57,small,4000,4,0.05,3543.8758939983677,0.014888100989147819,0
58,small,4000,4,0.05,1279.3217589613162,0.005374531195431041,0
59,small,4000,4,0.05,2722.4432272832732,0.011437197835752864,0
